date,tcn,tcr,ipc,ipc_nvolatil,tpm,ror2,ror10,ror5,ror2uf,ror10uf,ror5uf,m1,m2,m3,ipsa,col,colcons,colviv,colcom,imacec,imacecdes,exp,imp,impk,reserv,lf,empl,unem,ind,indmin,indmanu,indega,genera,ivcm,cobre,oil,spread,tbill10,rem_index
1/1/1980,,,2.1,,,,,,,,,61,,,,,,,,,,,,,,,,,,,,,,,1.2,,,,
1/2/1980,,,1.8,,,,,,,,,61,,,,,,,,,,,,,,,,,,,,,,,1.3,,,,
1/3/1980,,,2.9,,,,,,,,,64,,,,,,,,,,,,,,,,,,,,,,,1,,,,
1/4/1980,,,2.5,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,
1/5/1980,,,2.3,,,,,,,,,73,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,
1/6/1980,,,1.9,,,,,,,,,74,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,
1/7/1980,,,2,,,,,,,,,74,,,,,,,,,,,,,,,,,,,,,,,1,,,,
1/8/1980,,,2.2,,,,,,,,,76,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,
1/9/1980,,,2.1,,,,,,,,,81,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,
1/10/1980,,,2.9,,,,,,,,,78,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,
1/11/1980,,,2.6,,,,,,,,,84,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,
1/12/1980,,,1.9,,,,,,,,,95,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,
1/1/1981,,,1.6,,,,,,,,,98,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,
1/2/1981,,,0.3,,,,,,,,,97,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,
1/3/1981,,,0.8,,,,,,,,,98,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,
1/4/1981,,,1.2,,,,,,,,,103,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,
1/5/1981,,,1.3,,,,,,,,,106,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,
1/6/1981,,,0.1,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,
1/7/1981,,,0.6,,,,,,,,,98,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,
1/8/1981,,,1.2,,,,,,,,,97,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,
1/9/1981,,,0.9,,,,,,,,,97,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,
1/10/1981,,,0.3,,,,,,,,,97,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,
1/11/1981,,,0.2,,,,,,,,,99,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,
1/12/1981,,,0.5,,,,,,,,,105,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,
1/1/1982,,,0.7,,,,,,,,,101,,,,,,,,,,,,,3797,,,,,,,,,,0.7,,,,
1/2/1982,,,-0.8,,,,,,,,,99,,,,,,,,,,,,,3786,,,,,,,,,,0.7,,,,
1/3/1982,,,0.4,,,,,,,,,99,,,,,,,,,,,,,3800,,,,,,,,,,0.7,,,,
1/4/1982,,,-0.1,,,,,,,,,99,,,,,,,,,,,,,3680,,,,,,,,,,0.7,,,,
1/5/1982,,,-0.5,,,,,,,,,96,,,,,,,,,,,,,3575,,,,,,,,,,0.7,,,,
1/6/1982,,,0.7,,,,,,,,,97,,,,,,,,,,,,,3485,,,,,,,,,,0.6,,,,
1/7/1982,,,2,,,,,,,,,88,,,,,,,,,,,,,3348,,,,,,,,,,0.7,,,,
1/8/1982,57.8,,3.2,,,,,,,,,92,,,,,,,,,,,,,3208,,,,,,,,,,0.7,,,,
1/9/1982,63.04,,4.3,,,,,,,,,94,,,,,,,,,,,,,2759,,,,,,,,,,0.6,,,,
1/10/1982,66.27,,4.8,,,,,,,,,89,,,,,,,,,,,,,2692,,,,,,,,,,0.7,,,,
1/11/1982,69.19,,3.3,,,,,,,,,85,,,,,,,,,,,,,2492,,,,,,,,,,0.7,,,,
